Foo Fighters,Learn To Fly,678,0,0.000131,0.421246,0.862472,0.554859,0.08565,0,0.054482,0.6432666666666668,0.47682
Carly Rae Jepsen,Call Me Maybe,678,3,0.01183,0.775125,0.415275,0.113412,0.043393749999999995,1,0.046167,0.5557,0.654757
Survivor,Eye of the Tiger,677,4,0.298182,0.719354,0.574869,0.406273,0.0257,1,0.046937,0.5114722222222222,0.474581
Wolf Alice,Bros,676,3,0.003821,0.58318,0.92149,0.22586,0.072625,1,0.069681,0.5887777777777778,0.217206
Gorillaz,Feel Good Inc,676,0,0.010267,0.811078,0.690901,0.606708,0.08395625,1,0.173077,0.6586333333333333,0.798606
Omarion,Post To Be (feat. Chris Brown & Jhene Aiko),676,1,0.069705,0.733264,0.67572,0.20777,0.08965624999999999,0,0.043189,0.43026666666666663,0.717152
Coldplay,Viva La Vida,676,2,0.290704,0.430345,0.825107,0.694503,0.08768125,1,0.051413,0.6550666666666667,0.306023
Journey,Don't Stop Believin',676,2,0.003801,0.356244,0.891881,0.397861,0.07326875000000001,1,0.06883,0.5900666666666667,0.246176
Katy Perry,Dark Horse,675,2,0.001986,0.588604,0.303617,0.243292,0.011843749999999997,0,0.073988,0.6440944444444445,0.376747
A Great Big World,Say Something,675,3,0.873707,0.518834,0.156305,0.084342,0.07785625,1,0.035548,0.6666500000000001,0.14883
Ella Henderson,Ghost,674,1,0.46276,0.694948,0.905819,0.129954,0.10679374999999999,0,0.172224,0.5164388888888889,0.276391
Red Hot Chili Peppers,Californication,673,3,0.002101,0.592469,0.766526,0.126558,0.107575,0,0.027002,0.4249055555555556,0.316978
First Aid Kit,My Silver Lining,672,4,0.026026,0.476604,0.725399,0.214035,0.09580625000000001,1,0.033724,0.45474444444444445,0.417488
Coldplay,Yellow,672,3,0.663601,0.597718,0.241155,0.685959,0.00390625,1,0.026923,0.34765,0.173114
Jamie XX,Girl,672,0,0.190664,0.358992,0.604662,0.728284,0.05254375,0,0.378214,0.4533388888888889,0.47747
Nirvana,Come As You Are,672,4,0.012488,0.371753,0.877832,0.883724,0.058637499999999995,0,0.049623,0.5703611111111111,0.271579
