Adele,Skyfall,0.51061,0.311319,0.303675,0.116501,0.0154375,0,0.02889,0.314988889,0.162093,2
Savage Garden,Truly Madly Deeply,0.403305,0.555463,0.698391,0.085132,0.0695375,1,0.028675,0.822888889,0.808814,2
Anirudh Ravichander,Aaluma Doluma,0.076437,0.559974,0.917322,0.346447,0.08841875,1,0.190093,0.782127778,0.624181,2
Harris Jayaraj,"Adhaaru Adhaaru (From ""Yennai Arindhaal"")",0.168569,0.694134,0.897968,0.17096,0.08745625,0,0.207922,0.509705556,0.697088,2
Dolly Parton,I Will Always Love You,0.815173,0.439051,0.441706,0.164549,0.09109375,1,0.027548,0.557644444,0.345078,3
Bob Dylan,Make You Feel My Love,0.780055,0.375411,0.21884,0.108813,0.04305,1,0.0288,0.685816667,0.198332,1
Elvis Presley,Love Me Tender - Love Me Tender,0.994133,0.245553,0.922966,0.693066,0.08155625,1,0.385856,0.287794444,0.356,3
Harry Nilsson,Without You,0.676386,0.414392,0.368952,0.09256,0.0780625,1,0.025921,0.253783333,0.159069,4
John Denver,Annie's Song,0.778921,0.314127,0.480598,0.40968,0.08454375,1,0.029906,0.698377778,0.568386,1
Toto,I Won't Hold You Back,0.375954,0.583395,0.436682,0.966583,0.05580625,0,0.03167,0.455444444,0.373983,2
REO Speedwagon,Keep On Loving You,0.021329,0.319001,0.639639,0.104041,0.0848875,1,0.029502,0.864577778,0.210211,2
Lonestar,Amazed,0.25072,0.553528,0.555364,0.112685,0.0744875,1,0.031704,0.6654,0.242293,2
Jennifer Rush,The Power Of Love,0.257178,0.429294,0.560141,0.130847,0.0929125,1,0.030784,0.659855556,0.176803,1
Bonnie Tyler,Total Eclipse of the Heart,0.198676,0.428947,0.655241,0.088098,0.077675,1,0.058507,0.617583333,0.142476,3
Eric Carmen,All By Myself,0.737962,0.358114,0.430729,0.263048,0.06556875,0,0.03131,0.5359,0.126012,2
Michael Bolton,How Am I Supposed to Live Without You (Bonus Track),0.407826,0.567693,0.50072,0.715674,0.0862625,1,0.027378,0.598427778,0.235252,1
Curtis Stigers,You're All That Matters to Me,0.08888,0.555785,0.677177,0.10849,0.07171875,1,0.034636,0.903688889,0.845575,0
Daryl Hall,Sara Smile,0.468526,0.4619,0.596902,0.70968,0.07928125,0,0.033267,0.674344444,0.43128,4
Terence Trent D'Arby,Sign Your Name,0.173437,0.881721,0.564419,0.129484,0.08693125,0,0.039499,0.495283333,0.86428,2
The Weeknd,Can't Feel My Face,0.140392,0.712723,0.766399,0.098053,0.09131875,0,0.045483,0.4888,0.570648,2
Coldplay,Viva La Vida,0.877379,0.629536,0.183834,0.109636,-0.00041875,1,0.04375,0.676255556,0.767761,2
